arg-id,comment-id,x,y,cluster-id
A468.0_0,468.0,2.8216398,6.0377984,4
A469.0_0,469.0,2.1792612,5.694786,2
A470.0_0,470.0,3.8716166,-0.21391061,6
A471.0_0,471.0,0.20296898,3.036127,2
A472.0_0,472.0,-0.10314113,3.3398857,2
A473.0_0,473.0,-0.04541337,3.4180465,2
A474.0_0,474.0,6.6582727,3.6735644,5
A475.0_0,475.0,3.5025299,2.8517506,1
A476.0_0,476.0,0.95773196,2.2844107,9
A477.0_0,477.0,-0.5979983,4.3151298,2
A478.0_0,478.0,-1.1237289,4.273487,2
A479.0_0,479.0,3.2093384,1.9043711,9
A480.0_0,480.0,6.1546674,3.6338348,5
A481.0_0,481.0,1.4827894,4.1682134,2
A482.0_0,482.0,1.0161008,2.6942422,9
A483.0_0,483.0,1.0176982,2.684116,9
A484.0_0,484.0,1.2117896,5.4422,2
A485.0_0,485.0,0.10223341,4.3828287,2
A486.0_0,486.0,0.1170532,4.550941,2
A487.0_0,487.0,2.8713825,3.3417232,1
A488.0_0,488.0,0.13871686,4.378951,2
A489.0_0,489.0,0.16857485,4.379422,2
A490.0_0,490.0,0.8846398,4.7473035,2
A491.0_0,491.0,0.39618233,4.6003685,2
A492.0_0,492.0,1.2180167,5.118287,2
A493.0_0,493.0,1.2452168,2.6516843,9
A494.0_0,494.0,2.948539,2.285646,9
A495.0_0,495.0,-0.098978296,1.2389045,9
A496.0_0,496.0,-0.32213762,0.998244,9
A497.0_0,497.0,0.5221021,4.375079,2
A498.0_0,498.0,0.12765098,4.5619144,2
A499.0_0,499.0,1.1350781,4.911411,2
A500.0_0,500.0,1.3531227,3.8327682,2
A501.0_0,501.0,0.15745623,4.4172935,2
A502.0_0,502.0,6.4385953,3.561326,5
A503.0_0,503.0,4.4133716,1.3435702,9
A504.0_0,504.0,0.63867915,2.033509,9
A505.0_0,505.0,5.434423,0.57560045,3
A506.0_0,506.0,5.1403766,0.67404073,3
A507.0_0,507.0,5.0003676,0.7393302,3
A508.0_0,508.0,5.6991434,3.544416,5
A509.0_0,509.0,6.2816486,1.5678486,3
A510.0_0,510.0,0.87233734,2.9694283,9
A511.0_0,511.0,2.7132528,6.0497184,4
A512.0_0,512.0,3.5681894,3.1492033,1
A513.0_0,513.0,3.8576596,-0.28287855,6
A514.0_0,514.0,1.1056645,1.6923527,9
A515.0_0,515.0,5.6391654,1.9180577,3
A516.0_0,516.0,-1.125303,4.1673493,2
A517.0_0,517.0,3.803026,1.0937406,9
A518.0_0,518.0,3.7379491,1.6344523,9
A519.0_0,519.0,5.0204725,1.6559128,3
A520.0_0,520.0,5.233675,1.1334612,3
A521.0_0,521.0,4.941597,1.6573744,3
A522.0_0,522.0,4.0080786,-0.08182575,6
A523.0_0,523.0,6.2639747,1.6752839,3
A524.0_0,524.0,5.30572,3.3788142,5
A525.0_0,525.0,0.07849451,5.411509,2
A526.0_0,526.0,1.2800646,3.7690558,2
A527.0_0,527.0,2.6969244,6.085326,4
A528.0_0,528.0,6.282694,1.5347437,3
A529.0_0,529.0,2.3181992,2.3216853,9
A530.0_0,530.0,4.9619975,3.1269066,9
A531.0_0,531.0,-1.1581105,1.3226389,7
A532.0_0,532.0,5.866042,-1.1069709,8
A533.0_0,533.0,4.782467,0.617494,3
A534.0_0,534.0,6.202067,3.6673229,5
A535.0_0,535.0,-0.100539535,4.9380975,2
A536.0_0,536.0,0.33246502,0.41036826,9
A537.0_0,537.0,4.28166,3.3277771,1
A538.0_0,538.0,0.7047044,4.8229947,2
A539.0_0,539.0,4.6590533,3.715652,1
A540.0_0,540.0,4.807119,3.3554058,9
A541.0_0,541.0,3.8997595,3.0853672,1
A542.0_0,542.0,5.457623,0.13310027,3
A543.0_0,543.0,5.287437,0.07281975,3
A544.0_0,544.0,5.4490714,0.5495102,3
A545.0_0,545.0,1.8143954,2.1692104,9
A546.0_0,546.0,3.3389351,3.2950945,1
A547.0_0,547.0,4.381792,2.7745502,9
A548.0_0,548.0,3.4071507,2.645152,1
A549.0_0,549.0,0.39714518,2.5063543,9
A550.0_0,550.0,0.59423316,2.1336977,9
A551.0_0,551.0,0.9775097,4.8225884,2
A552.0_0,552.0,1.4912074,1.3447405,9
A553.0_0,553.0,4.9711556,0.7255446,3
A554.0_0,554.0,5.019354,0.83984065,3
A555.0_0,555.0,1.202359,1.3698726,9
A556.0_0,556.0,6.4305167,3.7913868,5
A557.0_0,557.0,0.57122356,1.3588126,9
A558.0_0,558.0,3.2508488,2.9124207,1
A559.0_0,559.0,1.7980355,3.3005717,2
A560.0_0,560.0,1.9874549,2.1786075,9
A561.0_0,561.0,1.6557883,0.10366936,9
A562.0_0,562.0,2.701861,1.5187689,9
