arg-id,comment-id,x,y,cluster-id
A243_0,243,17.067339,9.342754,5
A244_0,244,16.009518,8.484272,1
A245_0,245,14.704549,8.5270195,1
A246_0,246,14.897236,8.397736,1
A247_0,247,15.379988,7.860382,1
A248_0,248,14.2705555,9.008548,1
A249_0,249,15.807065,7.4165993,1
A250_0,250,8.659038,6.6777053,1
A251_0,251,17.879826,10.160777,5
A252_0,252,17.862217,11.0309925,5
A253_0,253,15.805438,10.238952,1
A254_0,254,17.954659,10.695992,5
A255_0,255,16.835403,8.875959,1
A256_0,256,16.52841,11.850594,5
A257_0,257,17.284826,11.217426,5
A258_0,258,15.48532,11.700729,5
A259_0,259,17.478945,11.394989,5
A260_0,260,17.797262,11.459262,5
A261_0,261,11.843514,11.80882,3
A262_0,262,17.77152,10.854404,5
A263_0,263,12.603595,7.5076084,0
A264_0,264,17.97208,10.304214,5
A265_0,265,15.446048,10.748246,1
A266_0,266,17.949135,11.2021055,5
A267_0,267,8.9161415,12.592843,2
A268_0,268,11.477217,7.757892,0
A269_0,269,17.3502,10.8016205,5
A270_0,270,11.8674965,8.450565,0
A271_0,271,9.318826,10.759031,2
A272_0,272,17.613552,9.896198,5
A273_0,273,9.78117,7.009622,0
A274_0,274,15.592775,9.427009,1
A275_0,275,15.75994,10.201002,1
A276_0,276,15.112163,10.832441,1
A277_0,277,10.023278,7.6822863,0
A278_0,278,14.884572,11.3571615,5
A279_0,279,14.779526,11.299348,5
A280_0,280,10.608532,8.883289,0
A281_0,281,18.043596,10.21858,5
A282_0,282,17.58469,9.990904,5
A283_0,283,8.531466,6.60013,1
A284_0,284,8.722405,12.137803,2
A285_0,285,10.324924,10.063541,3
A286_0,286,11.963277,11.087227,3
A287_0,287,16.568308,8.695374,1
A288_0,288,11.384022,8.426842,0
A289_0,289,13.095057,9.0830555,1
A290_0,290,11.797921,9.162237,0
A291_0,291,8.824256,12.125227,2
A292_0,292,9.686769,7.2795205,0
A293_0,293,10.693085,8.015373,0
A294_0,294,10.631487,8.875613,0
A295_0,295,10.94276,11.370131,3
A296_0,296,14.644109,7.3503165,1
A297_0,297,14.1917715,7.6251817,1
A298_0,298,11.464304,7.8086042,0
A299_0,299,13.331688,8.7635765,1
A300_0,300,12.037545,6.692502,0
A301_0,301,11.398619,8.67741,0
A302_0,302,13.152116,6.2086077,4
A303_0,303,10.97105,11.300037,3
A304_0,304,11.709301,7.582052,0
A305_0,305,13.091296,10.240093,1
A306_0,306,12.413242,8.258268,0
A307_0,307,8.887267,12.54831,2
A308_0,308,14.16806,9.297396,1
A309_0,309,13.511964,7.25061,1
A310_0,310,9.075451,11.937414,2
A311_0,311,15.461127,11.722734,5
A312_0,312,11.832661,9.813209,3
A313_0,313,10.277332,6.377945,0
A314_0,314,12.133122,9.70524,3
A315_0,315,11.869985,11.811119,3
A316_0,316,11.887273,11.778877,3
A317_0,317,10.248342,6.4456778,0
A318_0,318,10.948199,8.812062,0
A319_0,319,17.916922,10.329522,5
A320_0,320,11.749465,6.641516,0
A321_0,321,11.29638,7.2996325,0
A322_0,322,8.807511,6.661469,1
A323_0,323,8.726345,6.598505,1
A324_0,324,13.748905,7.0082498,1
A325_0,325,17.96979,10.688742,5
A326_0,326,18.055353,10.682396,5
A327_0,327,10.968396,11.511664,3
A328_0,328,17.997303,10.58039,5
A329_0,329,12.28317,7.43137,0
A330_0,330,11.542819,7.8102183,0
A331_0,331,10.988339,8.757855,0
A332_0,332,13.000454,6.3951797,4
A333_0,333,17.984636,10.626107,5
A334_0,334,11.186675,7.1149154,0
A335_0,335,11.438831,7.7442117,0
A336_0,336,14.37715,9.477174,1
A337_0,337,12.308898,7.138114,0
A338_0,338,16.677235,8.74308,1
A339_0,339,10.3209305,6.409556,0
A340_0,340,10.005526,7.4416285,0
A341_0,341,8.69992,6.724009,1
A342_0,342,8.616245,6.6344604,1
A343_0,343,11.888795,8.161646,0
A344_0,344,14.70837,10.482091,1
A345_0,345,14.607585,8.150859,1
A346_0,346,16.612305,8.704111,1
A347_0,347,12.685889,11.13766,3
A348_0,348,12.699338,7.6829805,0
A349_0,349,12.637451,8.155694,0
A350_0,350,13.217192,6.1737185,4
A351_0,351,12.874026,8.540836,0
A352_0,352,15.923482,7.9806123,1
A353_0,353,8.606148,6.6866117,1
A354_0,354,8.906965,6.845363,1
A355_0,355,17.120409,10.5029545,5
A356_0,356,17.1304,10.5994425,5
A357_0,357,10.621448,6.4356446,0
A358_0,358,11.859178,11.150224,3
A359_0,359,10.671797,10.021565,3
A360_0,360,16.480097,7.875851,1
A361_0,361,12.688104,10.775192,3
A362_0,362,9.17421,11.635021,2
A363_0,363,9.915156,6.9460135,0
A364_0,364,10.23933,6.5061197,0
A365_0,365,11.373409,8.79941,0
